"filename", "language", "Python", "YAML", "Django txt", "Docker", "Ini", "Shell Script", "Django HTML", "Markdown", "JSON", "JavaScript", "CSS", "SCSS", "TypeScript", "XML", "Vue", "Properties", "comment", "blank", "total"
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/datafeed-api.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 50, 2, 221
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/ar-tv-chart.f5b3f142c9a35410af32.html", "Django HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/10.001220e38ce0a39f882e.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/13.03948444fb8e65f7a856.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/15.14e44c9fe762e0c75635.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/9.8309436d1561a99a7fad.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/ds-property-pages.32e5c40c0d43a1c499d6.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 79
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/editobjectdialog.87341e675e49f8f78022.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/go-to-date-dialog-impl.1fd01bb757e29b98a2c4.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/static/bundles/ie-fallback-logos.8319ee6d7ee230348d2d.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
